,pr2445_A23,pr2445_B24,pr2445_C17,pr2445_D20,pr2445_F24,pr2445_H2,pr2445_I11,pr2445_K18,pr2445_M20,pr2445_N15,pr2445_O2,pr2453_B6,pr2453_M13
ACT_Single Boltzmann,0.06482348273105701,0.07036510796970762,0.05904796509694628,0.1171267271786379,0.07731301427050136,0.04793343833974454,0.08014599064142028,0.09541495472058402,0.07360976676235922,0.07226863283798028,0.06928488337277093,0.04751673882480954,0.1063275605633353
ACT_Double Boltzmann,0.05633715404324365,Failed,0.038517297071819306,0.07401072951493565,Failed,0.0425417796701555,0.06676496737066506,Failed,0.051502193593550585,Failed,0.04546189207242331,0.01901627993535656,0.067573209408333
ACT_Bin,double,single,double,double,single,double,double,single,double,single,double,double,double
ACT_V0.5,-28.43767934722079,-20.697281476004672,-34.18962378556133,-26.11736867246643,-16.888190763188984,-18.056816137051634,-24.061167762048658,-33.24609188568406,-12.263747259730732,-20.635663969614754,-27.1810834668364,-15.653307263969054,-35.074216310436896
ACT_k,11.36442876639591,13.714973598991586,8.00862077923411,13.286573290528496,12.891754180503995,13.411159705374194,15.941393393084626,11.01741779268971,9.91209242484095,13.85796383679617,9.433215397434374,12.8442951324635,11.595829440797868
ACT_y0,0.00024193191015701936,Failed,0.012326857225532306,-0.041152745956496053,Failed,0.010314595594986745,-0.11490025893482113,Failed,-0.0022077622592859046,Failed,0.005757572465001778,-0.002278472546432273,0.015399063613006851
ACT_A,0.9979830794699106,,0.9630249121045577,0.9892790921697627,,0.9592126268697285,1.1604553434853522,,0.9981333677095874,,0.9710472108147659,1.0094629610636807,0.9246781329478293
ACT_Va,-30.993831243174643,,-33.600914545315,-43.93013257964975,,-26.19316515965623,-41.50824244758655,,-21.227610213334163,,-31.505765424497593,18.15095611409224,-38.09897711492861
ACT_Vb,-50.52891689546002,,-36.56418522674136,-59.500214596691265,,1.1139195235938495,-67.34751767016203,,-38.00643678056853,,-21.34971836245093,-18.610869638246232,-4.555837090901362
ACT_k1,-11.80633603380401,,-8.606236281569549,-15.246432905513826,,-10.180793234723275,-23.36300746465841,,-12.14595571625372,,-5.718241750522338,-0.7043276500383127,-8.611346969043703
ACT_k2,-1.8629881035173121,,-3.0429406267640235,-9.566359660938135,,-6.107175264807825,-10.345087483074426,,-7.010595981514908,,-11.682557618712599,-11.48044512434474,-0.20400430978440925
ACT_p,1.1078023191849844,,0.7680989634512231,1.834446616466743,,0.7386732702885538,1.4336289053248703,,1.5083593737114618,,0.5446045115166681,0.08997230623796314,0.9457489881520632
