Membrane Potential (mV),pr2445:A23,pr2445:B24,pr2445:C17,pr2445:D20,pr2445:F24,pr2445:H2,pr2445:I11,pr2445:K18,pr2445:M20,pr2445:N15,pr2445:O2,pr2453:B6,pr2453:M13
-100,-52.0889,-48.9345,-48.537,-47.802,-39.8985,-35.242,-34.7326,-56.6664,-49.2794,-39.8815,-69.1136,-49.8783,-36.8818
-95,-54.0707,-66.4404,-30.6638,-40.7183,-34.4667,-47.1793,-42.4251,-57.0726,-44.9672,-37.6319,-48.8244,-50.9628,-62.4448
-90,-63.525,-53.4533,-72.2083,-71.5759,-35.5298,-38.1686,-41.6902,-57.7293,-52.5011,-54.7522,-53.998,-54.5592,-57.6683
-85,-82.9995,-64.5867,-70.9897,-48.6685,-50.0636,-56.6027,-52.7108,-80.3225,-57.3784,-63.1268,-46.2417,-63.5161,-78.0605
-80,-72.5279,-78.8169,-81.194,-62.2032,-48.0536,-41.823,-74.7669,-78.7252,-73.7057,-62.2736,-90.2226,-55.0679,-100.403
-75,-81.0786,-84.3477,-72.6884,-72.076,-46.981,-43.7372,-63.0498,-102.073,-57.7292,-61.1079,-64.0699,-63.4346,-98.484
-70,-74.9,-91.0665,-129.525,-69.8275,-49.1894,-67.7756,-73.183,-96.7746,-75.7685,-73.9681,-74.3038,-62.5198,-108.869
-65,-80.4918,-106.578,-121.989,-78.3627,-53.5311,-81.6408,-68.8385,-106.668,-60.7927,-86.1319,-101.666,-75.2126,-149.24
-60,-125.794,-152.567,-156.903,-91.8394,-57.4579,-89.2505,-90.4574,-168.315,-83.3569,-70.4693,-113.497,-96.6109,-166.646
-55,-157.863,-200.43,-203.733,-82.2427,-73.346,-109.216,-107.94,-187.202,-70.4605,-78.2151,-110.693,-114.406,-232.904
-50,-148.557,-302.222,-262.745,-131.851,-83.3076,-111.821,-119.862,-260.25,-107.019,-95.3162,-151.111,-146.293,-364.571
-45,-185.262,-446.194,-465.065,-193.04,-101.938,-138.772,-158.921,-349.328,-104.203,-124.125,-223.455,-193.14,-479.828
-40,-216.071,-724.641,-715.424,-253.115,-123.93,-192.216,-209.939,-599.144,-82.1,-163.724,-362.427,-300.103,-639.064
-35,-322.584,-995.971,-1111.74,-415.535,-172.441,-252.647,-254.299,-712.609,-96.6788,-209.916,-583.866,-416.468,-810.507
-30,-424.528,-1299.55,-1416.28,-532.342,-249.499,-330.57,-304.376,-886.638,-154.617,-281.278,-785.157,-539.741,-909.66
-25,-471.059,-1580.18,-1637.65,-578.262,-297.58,-431.876,-325.894,-948.392,-210.884,-330.026,-990.965,-646.277,-992.037
-20,-496.243,-1714.47,-1688.28,-656.699,-369.103,-481.557,-353.114,-1062.67,-343.813,-335.423,-1137.6,-779.206,-990.136
-15,-580.229,-1836.58,-1699.74,-615.803,-443.343,-525.653,-382.127,-1061.52,-453.365,-382.417,-1210.12,-903.277,-1050.03
-10,-554.417,-1862,-1731.89,-619.002,-460.037,-567.098,-377.448,-1080.38,-553.468,-416.818,-1196.59,-935.519,-961.415
-5,-516.731,-1929.97,-1712.14,-613.419,-456.021,-622.978,-352.623,-1075.11,-612.658,-400.954,-1182.01,-975.773,-931.795
0,-555.198,-1921.87,-1643.05,-629.974,-461.506,-632.409,-379.927,-1070.31,-651.11,-399.48,-1193.7,-1006.67,-972.874
5,-539.767,-1900.03,-1628.7,-583.897,-430.075,-664.246,-347.854,-945.364,-608.746,-395.605,-1089.1,-947.782,-872.412
10,-508.865,-1881.88,-1542.88,-568.29,-413.847,-661.439,-382.22,-991.5,-570.813,-358.054,-1083.72,-875.787,-779.514
15,-458.109,-1843.31,-1431.65,-559.615,-392.541,-639.651,-347.95,-922.013,-567.666,-326.057,-1018.19,-795.75,-734.779
20,-442.078,-1649.05,-1400.18,-543.462,-322.092,-629.626,-311.077,-904.266,-561.133,-289.898,-966.098,-765.033,-702.952
25,-407.363,-1472.15,-1220.87,-451.933,-301.336,-550.369,-287.684,-896.541,-503.848,-249.096,-800.062,-651.712,-571.465
30,-368.321,-1432.71,-1196.16,-413.751,-274.988,-563.629,-278.646,-885.828,-458.95,-238.287,-803.713,-540.072,-478.402
